city_id,name,geometry
ghs-fua_1269,Brussels,POINT (4.285847086367514 50.80045521079271)
ghs-fua_1372,Charleroi,POINT (4.445281349098882 50.42638913497367)
ghs-fua_1565,Leuven,POINT (4.7549443174324635 50.88850716320871)
ghs-fua_1656,Liège,POINT (5.519148877051412 50.62575685911198)
ghs-fua_202,Bruges,POINT (3.2471213492325783 51.17440599371174)
ghs-fua_514,Kortrijk,POINT (3.2988677663674957 50.846469345334214)
ghs-fua_657,Ghent,POINT (3.7565123839039662 51.032535017129014)
ghs-fua_923,Mons,POINT (3.863999560146081 50.47290284735658)
ghs-fua_1047,Savalou,POINT (1.9784310184646758 7.932044735542499)
ghs-fua_1161,Bohicon,POINT (2.042654845771461 7.178285796082216)
ghs-fua_12,Cobli,POINT (1.0098725562542126 10.481136327257094)
ghs-fua_1270,Whydah,POINT (2.0863159111858955 6.365709958118144)
ghs-fua_1373,Tindji,POINT (2.1156808143235986 7.221539350102666)
ghs-fua_1472,Allada,POINT (2.1527819000231503 6.664230469656955)
ghs-fua_1566,Dassa-Zoumé,POINT (2.1915095826976985 7.7818810606448565)
ghs-fua_1657,Cotonou,POINT (2.3762387629527346 6.405569581694649)
ghs-fua_1747,Banikoara,POINT (2.433863404050858 11.298267720422544)
ghs-fua_1833,Ouèssè,POINT (2.4235711115003347 8.492866352953126)
ghs-fua_1913,Parakou,POINT (2.612222078989658 9.34643429294893)
ghs-fua_1992,Porto-Novo,POINT (2.6228956984479157 6.5142242772502215)
ghs-fua_203,Tanguieta,POINT (1.270682153302609 10.622241222315306)
ghs-fua_2067,Kétou,POINT (2.6101084235432923 7.360918579709853)
ghs-fua_2142,Pobè,POINT (2.6619872449499002 6.97587524725759)
ghs-fua_2287,Kandi,POINT (2.9364785258807333 11.127168965282062)
ghs-fua_2356,Nikki,POINT (3.2040954236467396 9.93516576501268)
ghs-fua_2424,Malanville,POINT (3.3878243494081226 11.859245776524403)
ghs-fua_365,Natitingou,POINT (1.3803966424330958 10.286600282624507)
ghs-fua_515,Djougou,POINT (1.6635481757198252 9.701255369901297)
ghs-fua_924,Lokossa,POINT (1.7183090472570617 6.640122061956752)
ghs-fua_1048,Dédougou,POINT (-3.4613235978731023 12.464441251560398)
ghs-fua_1162,Gaoua,POINT (-3.1799007105256885 10.330832697399105)
ghs-fua_1271,Tougan,POINT (-3.067599479171694 13.072776038326584)
ghs-fua_13,Niangoloko,POINT (-4.916823843433693 10.275993955777022)
ghs-fua_1374,Ouahigouya,POINT (-2.4171110996885177 13.573346656441833)
ghs-fua_1473,Koudougou,POINT (-2.362576241600446 12.254930563118142)
ghs-fua_1567,Gourcy,POINT (-2.3551361716136614 13.203499315664475)
ghs-fua_1658,Yako,POINT (-2.2600452458912 12.960165617505368)
ghs-fua_1748,Leo,POINT (-2.0989724698297128 11.096910450853962)
ghs-fua_1834,Ouagadougou,POINT (-1.539954716506081 12.364299217349345)
ghs-fua_1914,Djibo,POINT (-1.6268762203387117 14.0988680510059)
ghs-fua_1993,Kongoussi,POINT (-1.5290156767382665 13.325705016624541)
ghs-fua_204,Banfora,POINT (-4.756282366942003 10.641841431447787)
ghs-fua_2068,Kombissiri,POINT (-1.3281164012298277 12.062296592474933)
ghs-fua_2143,Ziniaré,POINT (-1.299524046081846 12.589328930191176)
ghs-fua_2217,Kaya,POINT (-1.0847056558097568 13.082831317550669)
ghs-fua_2288,Boulsa,POINT (-0.5673041052264235 12.656271855717836)
ghs-fua_2357,Pouytenga,POINT (-0.4259643381625876 12.254665938819064)
ghs-fua_2425,Tenkodogo,POINT (-0.3729029426728383 11.791102779805865)
ghs-fua_2491,Koupéla,POINT (-0.3503696170246755 12.179855633402768)
ghs-fua_2557,Bitou,POINT (-0.3039528249935811 11.25589671055316)
ghs-fua_2623,Manni,POINT (-0.2113665533731041 13.259336865376662)
ghs-fua_2686,Bogandé,POINT (-0.1490339234300725 12.975567937623822)
ghs-fua_2748,Dori,POINT (-0.0317692260169131 14.031363216024136)
ghs-fua_2808,Cinkassé,POINT (0.0070665034806819 11.115763395828441)
ghs-fua_2867,Fada N'Gourma,POINT (0.355080601431864 12.063928131884396)
ghs-fua_2923,Kompienga,POINT (0.7260638940654494 11.075963045521572)
ghs-fua_366,Bobo-Dioulasso,POINT (-4.28933271762657 11.18205667318854)
ghs-fua_516,Sidéradougou,POINT (-4.2579257346402875 10.6765187963567)
ghs-fua_659,Solenzo,POINT (-4.0830541567510945 12.184663281537164)
ghs-fua_795,Nouna,POINT (-3.8566119333574505 12.732815228755193)
ghs-fua_925,Houndé,POINT (-3.522172369114641 11.481631926290303)
ghs-fua_1049,Chapainawabganj,POINT (88.26089359706593 24.58678569973818)
ghs-fua_1163,Dinajpur,POINT (88.63241132860233 25.641850130939467)
ghs-fua_1375,Nilphamari,POINT (88.85688509550377 25.934916528231035)
ghs-fua_14,Atwari,POINT (88.40821952787863 26.238245767508964)
ghs-fua_1474,Saidpur,POINT (88.9046328554767 25.793809712822462)
ghs-fua_1659,Bodorganj,POINT (89.05371709273795 25.678820501630977)
ghs-fua_1749,Rajshahi,POINT (88.6504409687767 24.41246803062536)
ghs-fua_1835,Joypurhat,POINT (89.02407946293165 25.10129541713057)
ghs-fua_1915,Naogaon,POINT (88.96118501728205 24.80628394187953)
ghs-fua_205,Thakurgaon,POINT (88.46649715200334 26.033404074089642)
ghs-fua_2069,Meherpur,POINT (88.6344525522857 23.779388472274903)
ghs-fua_2144,নাটোর,POINT (88.98109603849365 24.411433676434854)
ghs-fua_2218,Ulipur,POINT (89.61519055340976 25.695840780110103)
ghs-fua_2289,Bogura,POINT (89.38274263083842 24.920009925134735)
ghs-fua_2358,Gaibandha,POINT (89.53573446678058 25.33139424663348)
ghs-fua_2426,Chuadanga,POINT (88.8384648976834 23.635952391351275)
ghs-fua_2492,Ishurdi,POINT (89.09353775345917 24.08361370849328)
ghs-fua_2558,Alamdanga,POINT (88.94968181750014 23.752971698021643)
ghs-fua_2624,Barkhada,POINT (89.10752243628774 23.885422511787432)
ghs-fua_2924,Pabna,POINT (89.2654723112075 24.023565797387125)
ghs-fua_3033,Sirajganj,POINT (89.63305444785233 24.387511061886247)
ghs-fua_3085,Kotchadpur,POINT (89.01264305606568 23.405706020656194)
ghs-fua_3137,Benapole,POINT (88.91473440638414 23.045263287441905)
ghs-fua_3188,Jhenaidah,POINT (89.1713556272768 23.53811408968402)
ghs-fua_3239,কালীগঞ্জ,POINT (89.13403719241197 23.40753547244984)
ghs-fua_3290,Jamalpur,POINT (89.97786415653373 24.964762126325926)
ghs-fua_3341,Jessore,POINT (89.21077907741548 23.173813673696596)
ghs-fua_3388,Magura,POINT (89.41807870214285 23.485621050160894)
ghs-fua_3435,Tangail,POINT (89.95350117685312 24.335158564927188)
ghs-fua_3483,Mymensingh,POINT (90.31706417342043 24.749029732083937)
ghs-fua_3529,Khulna,POINT (89.55874776027902 22.833693842333773)
ghs-fua_3573,Faridpur,POINT (89.81708728780691 23.57873091256679)
ghs-fua_367,Panchagarh,POINT (88.5542184374285 26.337047408132552)
ghs-fua_3702,Dhaka,POINT (90.17415889819914 23.932887966133197)
ghs-fua_3703,Dhaka,POINT (90.34674015898109 24.266046356882157)
ghs-fua_3705,Dhaka,POINT (90.36087681580143 23.720554292104936)
ghs-fua_3707,Dhaka,POINT (90.68660175439076 23.92774579530034)
ghs-fua_3863,Gopalganj,POINT (89.82085251424444 23.009536499111213)
ghs-fua_3900,Bagerhat,POINT (89.7748574260222 22.661815128111584)
ghs-fua_3937,Netrokona,POINT (90.72953026212164 24.879229212237252)
ghs-fua_3974,Madaripur,POINT (90.17271295275799 23.139591114478737)
ghs-fua_4009,Kishoreganj,POINT (90.81325140714591 24.411555880089672)
ghs-fua_4044,Tarail,POINT (90.89318800337927 24.575060707708317)
ghs-fua_4078,Shariatpur,POINT (90.3373504179791 23.214564672497517)
ghs-fua_4148,Brahmanbaria,POINT (90.96603093416675 24.056840591007244)
ghs-fua_4250,Homna,POINT (90.82841988419716 23.75765265062301)
ghs-fua_4283,Barisal,POINT (90.34584073592546 22.70311044965144)
ghs-fua_4316,Comilla,POINT (90.98089505869852 23.41863253065861)
ghs-fua_4350,Sunamganj District,POINT (91.39895434598027 25.060015766419415)
ghs-fua_4515,Lakshmipur,POINT (90.8801790648449 22.990558111004347)
ghs-fua_4548,Bhola,POINT (90.65126597902916 22.669474230169214)
ghs-fua_4581,Habiganj,POINT (91.41336790699968 24.377705312548756)
ghs-fua_4644,Sylhet,POINT (91.90627063606487 24.877079979297022)
ghs-fua_4674,Moulvibazar,POINT (91.76284145082634 24.438130507329408)
ghs-fua_4731,Beanibazar,POINT (92.1616581038774 24.821159394448973)
ghs-fua_4758,Feni,POINT (91.40675455966401 23.002814465746148)
ghs-fua_4833,Chattogram,POINT (91.8280734908884 22.46479033913961)
ghs-fua_4858,Khagrachhari,POINT (91.98483533322366 23.1106275956571)
ghs-fua_4916,Chakaria,POINT (92.05997160509054 21.74978599885098)
