iso3_country,sector,subsector,asset_type,asset_id,asset_name,2015,2016,2017,2018,2019,2020,2021,2022,2023
CHE,transportation,international-aviation,international,3166851,Geneva Cointrin International Airport,1165919.9831191474,1223360.242861943,1258006.8310143,1265325.1434334747,1270638.9419898624,471851.1077747603,485803.9672000821,1140678.6520298114,717104.6329502305
MAR,transportation,international-aviation,international,3166165,Mohammed V International Airport,1189850.2153679642,,1301971.0742971955,,1459036.5299709511,559819.3708201603,701685.4803743988,1127268.9395182526,695326.088970808
CHN,transportation,domestic-aviation,domestic,3174233,Qingdao Jiaodong International Airport,869367.0751981754,,1070943.994603628,1130249.042117235,1127735.4336701313,986989.1599153142,1119820.701841761,1077459.0569538863,682775.4412607885
ESP,transportation,international-aviation,international,3168644,Palma de Mallorca Airport,976932.4039622338,1135110.8535521007,1201323.743205989,1287640.4906353066,,352881.8609334577,,1190067.0939133705,675294.4336740066
USA,transportation,international-aviation,international,3166965,Daniel K Inouye International Airport,1902418.443997527,,,2025843.4489424548,,,274906.1016788998,894214.3735455653,669848.1907433266
VNM,transportation,domestic-aviation,domestic,3171789,Noi Bai International Airport,,751971.4781239359,784629.8293813763,771700.8744926923,,,708603.1381632258,1205896.3610460006,656056.322535408
THA,transportation,international-aviation,international,3166946,Phuket International Airport,912780.0645747968,1139671.1718467346,1255586.6620870298,1567219.5415967924,,497836.7524592189,157664.34800092614,691819.2998511643,648939.1639574028
NOR,transportation,international-aviation,international,3168478,"Oslo Airport, Gardermoen",1197974.2186747647,1267752.5257437015,,,1408557.2724522697,514594.0470033199,449790.99407644256,1106917.753470681,637898.693150483
USA,transportation,domestic-aviation,domestic,3171199,Dallas Love Field,931695.2502949208,,,1039100.321251802,1105745.7805563256,782622.6037407607,882306.5228977307,1061720.1925999343,635143.8163710402
CHN,transportation,domestic-aviation,domestic,3172609,Lanzhou Zhongchuan International Airport,,,,,994724.4357096448,898457.2039920097,1014063.6526243744,979388.1325526824,632732.7018015595
JPN,transportation,domestic-aviation,domestic,3173318,Naha Airport / JASDF Naha Air Base,1139889.8540874417,,1141525.4394183278,1140135.888102636,1139518.764196927,,824866.0483614749,1130163.7841721014,629098.3873657584
AUS,transportation,domestic-aviation,domestic,3170766,Brisbane International Airport,1141025.2386084327,1137306.5961785754,1124952.319734907,1103681.3310457005,,508920.7358068468,653670.9076091633,1029514.7118927172,622374.9294476117
ZAF,transportation,international-aviation,international,3166199,Cape Town International Airport,,775878.8560946243,964962.0867875748,1045436.2692941542,,423576.2302274867,318393.8198528656,802700.7716980723,607085.9131403037
CAN,transportation,domestic-aviation,domestic,3175111,Vancouver International Airport,911389.0341739592,976163.4522750014,,1031253.5061230694,,518140.1137866971,586272.7109508992,1039614.0217399288,600758.3701714267
RUS,transportation,domestic-aviation,domestic,3171286,Domodedovo International Airport,1390597.3872726918,1203226.831248463,1359312.583347242,1155722.8893244911,1142750.7823860887,1049380.7814386608,1204294.5373977742,1156312.324659356,592112.0749600887
JOR,transportation,international-aviation,international,3165568,Queen Alia International Airport,893924.6710796127,919609.7433861695,913120.6629187583,,,368670.9316552547,581019.4259641685,963537.977576016,586629.3905580998
