iso3_country,sector,subsector,asset_type,asset_id,asset_name,2015,2016,2017,2018,2019,2020,2021,2022,2023
GBR,transportation,international-aviation,international,3166514,East Midlands Airport,,,,,,,,,1.248272976472233
KGZ,transportation,international-aviation,international,3166659,Manas International Airport,,,,,,,,,1.2448609576022625
USA,transportation,domestic-aviation,domestic,3174120,Sarasota Bradenton International Airport,,,,,,,,,1.2430033079569696
VNM,transportation,domestic-aviation,domestic,3171198,Da Nang International Airport,,,,,,,,,1.228049848971939
BHS,transportation,international-aviation,international,3168205,Lynden Pindling International Airport,,,,,,,,,1.2117263171271977
JPN,transportation,international-aviation,international,3168247,Chubu Centrair International Airport,,,,,,,,,1.2095824559596398
COL,transportation,international-aviation,international,3167915,Jose Maria Córdova International Airport,,,,,,,,,1.206059318104038
JPN,transportation,domestic-aviation,domestic,3172398,Kagoshima Airport,,,,,,,,,1.1935690548126567
USA,transportation,domestic-aviation,domestic,3173939,Louisville Muhammad Ali International Airport,,,,,,,,,1.1838245297885563
USA,transportation,international-aviation,international,3169137,Salt Lake City International Airport,,,,,,,,,1.1834393996417047
CHN,transportation,domestic-aviation,domestic,3172309,Kashgar Airport,,,,,,,,,1.1689466029190714
FRA,transportation,domestic-aviation,domestic,3173377,Paris-Orly Airport,,,,,,,,,1.16824212641241
RUS,transportation,domestic-aviation,domestic,3171991,Irkutsk International Airport,,,,,,,,,1.1671722046746134
ALB,transportation,international-aviation,international,3169410,Tirana International Airport Mother Teresa,,,,,,,,,1.1524103135410533
FRA,transportation,international-aviation,international,3165961,Paris Beauvais Tillé Airport,,,,,,,,,1.1520730690353056
USA,transportation,domestic-aviation,domestic,3170779,Boise Air Terminal/Gowen Field,,,,,,,,,1.1506029571457923
USA,transportation,domestic-aviation,domestic,3173784,Richmond International Airport,,,,,,,,,1.1399399064884557
IND,transportation,international-aviation,international,3166044,Calicut International Airport,,,,,,,,,1.135305009655451
USA,transportation,international-aviation,international,3166838,Grants Pass Airport,,,,,,,,,1.1308447126857084
RUS,transportation,domestic-aviation,domestic,3174684,Vnukovo International Airport,,,,,,,,,1.128620167235412
TUR,transportation,international-aviation,international,3166372,Dalaman International Airport,,,,,,,,,1.125632970583818
ESP,transportation,domestic-aviation,domestic,3174287,Tenerife Norte-Ciudad de La Laguna Airport,,,,,,,,,1.12483091492125
ITA,transportation,domestic-aviation,domestic,3171503,Rome–Fiumicino Leonardo da Vinci International Airport,,,,,,,,,1.1182547771839302
ESP,transportation,international-aviation,international,3167055,Ibiza Airport,,,,,,,,,1.1068272702871054
ITA,transportation,domestic-aviation,domestic,3171132,Catania-Fontanarossa Airport,,,,,,,,,1.101146192521913
ECU,transportation,international-aviation,international,3166862,José Joaquín de Olmedo International Airport,,,,,,,,,1.093396494011861
SWE,transportation,international-aviation,international,3166802,Gothenburg-Landvetter Airport,,,,,,,,,1.0922609943743122
TUR,transportation,international-aviation,international,3165468,Adnan Menderes International Airport,,,,,,,,,1.0835290899526837
SAU,transportation,domestic-aviation,domestic,3171288,King Fahd International Airport,,,,,,,,,1.0625495074450395
MYS,transportation,international-aviation,international,3168562,Penang International Airport,,,,,,,,,1.042305533124964
KAZ,transportation,domestic-aviation,domestic,3170457,Almaty International Airport,,,,,,,,,1.0393581499279856
GBR,transportation,international-aviation,international,3167632,Leeds Bradford Airport,,,,,,,,,1.0318546091191088
IND,transportation,international-aviation,international,3166052,Netaji Subhash Chandra Bose International Airport,,,,,,,,,0.9903114435215276
JPN,transportation,international-aviation,international,3166233,New Chitose Airport,,,,,,,,,0.9877176547247298
USA,transportation,domestic-aviation,domestic,3173830,Reno Tahoe International Airport,,,,,,,,,0.979464625876871
