iso3_country,sector,subsector,asset_type,asset_id,asset_name,2015,2016,2017,2018,2019,2020,2021,2022,2023
SAU,transportation,international-aviation,international,3167221,King Abdulaziz International Airport,3696024.689430736,3956924.8270144793,,3987064.082072195,,,,,
SAU,forestry-and-land-use,net-shrubgrass,,4556423,Saudi Arabia,,4642842.4836653,,,,,,,
SAU,fossil-fuel-operations,oil-and-gas-refining,Deep Conversion,3144102,Saudi Aramco Ras Tanura Refinery,6134174.771,6896502.12,7205537.204,7100633.504,6626835.85,,,6451005.227,
SAU,fossil-fuel-operations,oil-and-gas-refining,Deep Conversion,3144103,Saudi Aramco SASREF Jubail Refinery,3401678.737,3824423.903,,3937624.034,,,,,
SAU,fossil-fuel-operations,oil-and-gas-refining,Deep Conversion,3144104,Saudi Aramco Riyadh Refinery,1338365.405,,,,,,,,
SAU,fossil-fuel-operations,oil-and-gas-refining,Deep Conversion,3144175,SATORP Saudi Aramco Total Jubail Refinery,4907339.817,5517201.696,5764429.763,5680506.803,,,,,
SAU,power,electricity-generation,gas,25451979,Ghazlan power plant,,,,,15656000.0,15249000.0,15992000.0,15992000.0,
SDN,agriculture,cropland-fires,,10720869,Sudan,4175623.15504935,6923368.45385818,5075501.23825853,6879476.41197304,,,,,
SDN,forestry-and-land-use,net-shrubgrass,,4556426,Sudan,,,25952822.263369,6464271.41381,,37694531.792959,,,
SDN,forestry-and-land-use,net-shrubgrass,,4561299,Blue Nile,,,,,,9757091.0732864,,,
SDN,forestry-and-land-use,net-shrubgrass,,4561310,North Darfur,,,5177250.5870657,,,,,,
SDN,forestry-and-land-use,net-shrubgrass,,4561324,South Darfur,,,4662316.9419792,,,,,,
SDN,forestry-and-land-use,net-shrubgrass,,4561327,South Kurdufan,,,,,,17580182.87353,,,
SDN,forestry-and-land-use,net-shrubgrass,,4561334,West Kurdufan,,9549918.667564,,,,8405314.148727,,,
SDN,forestry-and-land-use,net-forest-land,,8297998,Sudan,,,5436771.264838,,,19112705.547924,,,
SEN,forestry-and-land-use,net-shrubgrass,,4556429,Senegal,,,,,7744761.636916,,7025399.463775,,
